plot,latitude,longitude,region,CRASSULACEAE,RESTIONACEAE,apan_mean_an,tminave07c,RFL_CONC,BioClimMAP30s
BK_13,-33.63117,24.39659,baviaanskloof,0.046908315,0.38379531,1998,4.800000191,8.7,20.29999924
BK_14,-33.63738,24.40565,baviaanskloof,0.071486589,0.463038189,1998,4.800000191,8.7,20.73329926
BK_15,-33.64486,24.22482,baviaanskloof,0.197068393,0,1973.300049,4.800000191,15.2,20.16670036
BK_16,-33.58535,24.37745,baviaanskloof,0,0.222466965,2032.099976,2.599999905,20.5,19.88330078
BK_17,-33.70426,24.19966,baviaanskloof,0,0.579297224,1856.599976,3.599999905,15.2,18.81669998
BK_18,-33.67944,24.21023,baviaanskloof,0.108588348,0.769002954,1910.5,4.5,15.2,19.08329964
BK_19,-33.651,24.19981,baviaanskloof,0.03822762,0.28670721,1950.5,4.199999809,15.2,19.81669998
BK_2,-33.59977,24.25466,baviaanskloof,0,0.99,2057.600098,4.900000095,15.2,20.25
BK_20,-33.64916,24.19973,baviaanskloof,0.116648994,0,1950.5,4.199999809,15.2,19.79999924
BK_21,-33.62723,24.20092,baviaanskloof,0.296190485,0,1987.800049,4.199999809,15.2,20.0333004
BK_22,-33.6379,24.24317,baviaanskloof,0.99,0,2030.400024,5,15.2,21.41670036
BK_23,-33.63739,24.23986,baviaanskloof,0.99,0,2006.699951,4.800000191,15.2,21.10000038
BK_24,-33.67187,24.21761,baviaanskloof,0.99,0,1938.199951,4.599999905,15.2,20
BK_25,-33.66336,24.41662,baviaanskloof,0.405405396,0,2077.100098,5.699999809,8.7,21.7833004
BK_26,-33.75011,24.22911,baviaanskloof,0,0.357142863,1876.099976,4.400000095,1,19.41670036
BK_27,-33.75221,24.22858,baviaanskloof,0.033232628,0.71752265,1876.099976,4.400000095,1,19.41670036
BK_28,-33.74482,24.26591,baviaanskloof,0.621468935,0,1836.699951,4.400000095,1,19.56669998
BK_29,-33.72327,24.27407,baviaanskloof,0,0.99,1926.5,4.099999905,15.2,19.23329926
BK_3,-33.52111,24.08495,baviaanskloof,0.960698695,0.778748185,2080.899902,1.600000024,21.8,19.16670036
BK_30,-33.66398,24.30316,baviaanskloof,0,0,2001.699951,4.099999905,15.2,20.54999924
BK_31,-33.63341,24.24608,baviaanskloof,0.729684956,0,2030.400024,5,15.2,21.41670036
BK_32,-33.65758,24.21739,baviaanskloof,0.023379385,0.2869288,1973.300049,4.800000191,15.2,19.79999924
BK_33,-33.65209,24.34128,baviaanskloof,0,0,2034.599976,4.5,15.2,20.76670074
BK_34,-33.64986,24.34396,baviaanskloof,0.75000002,0,2061.399902,4.800000191,15.2,21.31669998
BK_35,-33.58969,24.27173,baviaanskloof,0,0.99,2007.900024,2,15.2,19.4666996
BK_36,-33.59569,24.26399,baviaanskloof,0.037963761,0.668679916,2024.900024,4.400000095,15.2,20.29999924
BK_37,-33.72465,24.23676,baviaanskloof,0,0.9674202,1882.199951,4,1,19.06669998
BK_38,-33.71956,24.28278,baviaanskloof,0,0.99,1921.300049,4.099999905,15.2,19.2166996
BK_39,-33.7052,24.18503,baviaanskloof,0.543209861,0,1887.5,3.400000095,15.2,18.91670036
BK_4,-33.53914,24.07987,baviaanskloof,0,0.77738516,1974.099976,1.700000048,13.1,19.60000038
BK_40,-33.6822,24.35937,baviaanskloof,0.10073261,0,2046.800049,5.300000191,15.2,20.9666996
BK_41,-33.68663,24.34299,baviaanskloof,0.141783028,0,1988.699951,4.599999905,15.2,20.61669922
BK_42,-33.65513,24.36402,baviaanskloof,0.99,0,2068.800049,5.599999905,15.2,21.61669922
BK_43,-33.64763,24.33995,baviaanskloof,0.99,0,2034.599976,4.5,15.2,21.14999962
BK_45,-33.62244,24.29177,baviaanskloof,0.99,0,2059,5.099999905,15.2,21.14999962
BK_46,-33.68273,24.30676,baviaanskloof,0,0.411710888,1951.699951,4,15.2,19.9666996
BK_47,-33.66678,24.30244,baviaanskloof,0.216110013,0,2001.699951,4.099999905,15.2,20.26670074
BK_48,-33.65251,24.29209,baviaanskloof,0.985915493,0,2037.699951,5.199999809,15.2,20.68330002
BK_49,-33.653,24.29744,baviaanskloof,0.746606327,0,2037.699951,5.199999809,15.2,20.68330002
BK_5,-33.55304,24.07313,baviaanskloof,0.346002624,0,2033.099976,4.300000191,13.1,21.08329964
BK_50,-33.62402,24.29486,baviaanskloof,0.99,0,2059,5.099999905,15.2,21.14999962
BK_51,-33.6214,24.2954,baviaanskloof,0.949197878,0.406417106,2059,5.099999905,15.2,21.14999962
BK_52,-33.63819,24.28483,baviaanskloof,0.99,0,2074.399902,5.699999809,15.2,21.5
BK_53,-33.6695,24.40624,baviaanskloof,0.99,0,2095.100098,5.900000095,8.7,21.81669998
BK_54,-33.6685,24.41637,baviaanskloof,0.99,0,2077.100098,5.699999809,8.7,21.81669998
BK_55,-33.67716,24.4156,baviaanskloof,0.99,0,2006.5,5.599999905,8.7,21.20000076
BK_56,-33.65346,24.40588,baviaanskloof,0.99,0,2069.5,5.800000191,8.7,21.61669922
BK_57,-33.64951,24.38193,baviaanskloof,0.479682782,0,2020.199951,5.699999809,15.2,20.85000038
BK_58,-33.61798,24.38775,baviaanskloof,0,0.36028823,1942.900024,4.199999809,8.7,19.60000038
BK_59,-33.65139,24.22004,baviaanskloof,0.017418843,0,1973.300049,4.800000191,15.2,19.79999924
BK_6,-33.70197,24.20012,baviaanskloof,0.074074066,0,1856.599976,3.599999905,15.2,18.81669998
BK_60,-33.67188,24.20772,baviaanskloof,0,0.140186916,2002.199951,3.5,15.2,19.4666996
BK_61,-33.73091,24.2313,baviaanskloof,0,0.223642164,1896,4.099999905,1,19.35000038
BK_62,-33.73249,24.22993,baviaanskloof,0.234791898,0.549626461,1896,4.099999905,1,19.35000038
BK_63,-33.71314,24.30695,baviaanskloof,0.103383458,0.99,1929.5,4.099999905,15.2,19.76670074
BK_64,-33.69961,24.31314,baviaanskloof,0.435643578,0.99,1998.699951,4.699999809,15.2,20.25
BK_65,-33.69904,24.31308,baviaanskloof,0.129921265,0.492125975,1998.699951,4.699999809,15.2,20.25
BK_66,-33.68671,24.34016,baviaanskloof,0,0,1940.400024,4.199999809,15.2,20.51670074
BK_67,-33.69824,24.37822,baviaanskloof,0,0,1963.800049,5.5,4.3,20.95000076
BK_68,-33.6829,24.3977,baviaanskloof,0.99,0,2041.400024,5.900000095,4.3,21.51670074
BK_69,-33.69079,24.36728,baviaanskloof,0,0,2046.800049,5.300000191,15.2,20.9666996
BK_7,-33.63822,24.23439,baviaanskloof,0.99,0,2006.699951,4.800000191,15.2,21.10000038
BK_70,-33.67412,24.38852,baviaanskloof,0.82067509,0,2095.899902,5.400000095,15.2,21.86669922
BK_71,-33.61435,24.42672,baviaanskloof,0,0.99,1989.099976,4.599999905,8.7,19.86669922
BK_72,-33.60805,24.40376,baviaanskloof,0,0.59031879,1998,3.700000048,8.7,19.76670074
BK_74,-33.58899,24.39289,baviaanskloof,0.041825102,0.99,2076.300049,3.299999952,20.5,19.41670036
BK_75,-33.59084,24.39782,baviaanskloof,0,0.99,2076.300049,3.299999952,20.5,19.41670036
BK_76,-33.5931,24.37764,baviaanskloof,0.023354562,0.987261156,2004.599976,2.700000048,20.5,19.85000038
BK_77,-33.63519,24.1727,baviaanskloof,0.99,0,1982.800049,4.5,13.1,19.75
BK_78,-33.75193,24.33325,baviaanskloof,0.038903625,0.38019452,1941,4.5,4.3,20.5
BK_79,-33.7523,24.33234,baviaanskloof,0.207547165,0.08962264,1941,4.5,4.3,20.5
BK_8,-33.67001,24.20916,baviaanskloof,0.155811622,0,1938.199951,4.599999905,15.2,19.31669998
BK_80,-33.7325,24.31542,baviaanskloof,0,0.370212765,1898.900024,4.5,4.3,20.36669922
BK_81,-33.73702,24.31602,baviaanskloof,0.030303031,0.272038554,1898.900024,4.5,4.3,19.95000076
BK_82,-33.77616,24.20083,baviaanskloof,0,0.64317674,1857.099976,5,1,20.41670036
BK_83,-33.77403,24.20293,baviaanskloof,0,0.99,1838.199951,4.800000191,1,20.20000076
BK_84,-33.74554,24.20085,baviaanskloof,0,0.99,1834.599976,4.699999809,1,19.29999924
BK_85,-33.64116,24.05616,baviaanskloof,0,0.981308416,1940.900024,2.400000095,13.1,19.23329926
BK_86,-33.63649,24.05593,baviaanskloof,0.18691587,0.75191164,1940.900024,2.400000095,13.1,19.23329926
BK_87,-33.62191,24.05559,baviaanskloof,0.520348825,0,2015.900024,2.799999952,13.1,20.54999924
BK_88,-33.57244,24.2173,baviaanskloof,0,0.99,2001,3.299999952,15.2,18.18330002
BK_89,-33.57191,24.21766,baviaanskloof,0.287895325,0.99,2001,3.299999952,15.2,18.18330002
BK_9,-33.63897,24.23571,baviaanskloof,0.99,0,2006.699951,4.800000191,15.2,21.10000038
BK_90,-33.67619,24.10639,baviaanskloof,0.118279584,0.483870968,1950.300049,2.200000048,13.1,18.79999924
BK_91,-33.69482,24.06475,baviaanskloof,0,0.99,1686.900024,2.700000048,4.3,17.18330002
BK_92,-33.69536,24.06479,baviaanskloof,0,0.99,1686.900024,2.700000048,4.3,17.18330002
BK_93,-33.6924,24.0653,baviaanskloof,0,0.924453325,1686.900024,2.700000048,13.1,17.18330002
BK_94,-33.69355,24.07276,baviaanskloof,0,0.99,1686.900024,2.700000048,4.3,17.7833004
BK_95,-33.60734,24.37709,baviaanskloof,0,0.780169106,2004.599976,2.700000048,20.5,19.20000076
BK_96,-33.60444,24.3587,baviaanskloof,0,0.99115479,1939.5,2.799999952,15.2,18.76670074
BK_97,-33.60305,24.35771,baviaanskloof,0,0.969841275,1948.099976,3.599999905,20.5,18.79999924
BK_98,-33.5916,24.35669,baviaanskloof,0.0442211,0.99,2029.900024,2.900000095,20.5,19.93330002
BK_99,-33.66263,24.47795,baviaanskloof,0,0,1978.400024,5.900000095,8.7,20.39999962
CP_10,-34.22369,18.40384,cape_point,0,0.99,1919.199951,8.300000191,41.5,19.7166996
CP_11,-34.23151947,18.38434615,cape_point,0.043737584,0.99,1942.699951,8.399999619,41.5,19.64999962
CP_12,-34.23183333,18.39344444,cape_point,0.098778735,0.99,1922.400024,8.5,41.5,19.66670036
CP_13,-34.23315411,18.4038459,cape_point,0,0.99,1922.400024,8.5,41.5,19.64999962
CP_14,-34.23212,18.41361,cape_point,0,0.99,1900.300049,8,41.5,19.70000076
CP_15,-34.23988,18.38403,cape_point,0,0.99,1942.699951,8.399999619,41.5,19.70000076
CP_16,-34.24024369,18.39350179,cape_point,0.023162771,0.99,1922.400024,8.5,41.5,19.75
CP_17,-34.24009,18.40361,cape_point,0,0.99,1922.400024,8.5,41.5,19.75
CP_18,-34.2399297,18.41320479,cape_point,0,0.99,1900.300049,8,41.5,19.75
CP_19,-34.24817707,18.38424708,cape_point,0.53150796,0.99,1934.199951,8.5,41.5,19.56669998
CP_2,-34.206832,18.384346,cape_point,0.99,0.99,1920.300049,8.5,41.5,19.79999924
CP_20,-34.24859994,18.39437652,cape_point,0.017064555,0.99,1911.900024,8.800000191,41.5,19.61669922
CP_21,-34.24822,18.40301,cape_point,0,0.99,1911.900024,8.800000191,41.5,19.66670036
CP_22,-34.24835536,18.41183519,cape_point,0,0.99,1892.699951,8.800000191,41.5,19.66670036
CP_26,-34.26088,18.39388,cape_point,0,0.99,1902.300049,8.800000191,41.5,19.38330078
CP_27,-34.25665,18.40361,cape_point,0.018581081,0.99,1911.900024,8.800000191,41.5,19.51670074
CP_28,-34.2572276,18.4142412,cape_point,0.023425853,0.99,1892.699951,8.800000191,41.5,19.60000038
CP_29,-34.25697,18.4258,cape_point,0,0.99,1881.900024,8.800000191,41.5,19.56669998
CP_3,-34.20768938,18.39477944,cape_point,0.185771586,0.99,1889.5,8.399999619,41.5,19.7833004
CP_31,-34.25597222,18.44316667,cape_point,0.013222744,0.99,1859.099976,8.199999809,41.5,19.48329926
CP_34,-34.26555556,18.39305556,cape_point,0.004680852,0.99,1902.300049,8.800000191,41.5,19.38330078
CP_35,-34.26027778,18.40313889,cape_point,0,0.99,1902.300049,8.800000191,41.5,19.39999962
CP_37,-34.2650915,18.42301011,cape_point,0.025028441,0.99,1883.5,9,41.5,19.51670074
CP_38,-34.26644334,18.43391597,cape_point,0,0.99,1884.699951,9,41.5,19.51670074
CP_39,-34.26501,18.44386,cape_point,0,0.99,1809,9.199999809,41.5,19.23329926
CP_40,-34.26495362,18.45362619,cape_point,0,0.99,1809,9.199999809,41.5,19.23329926
CP_42,-34.26524204,18.46298508,cape_point,0,0.703502399,1880.900024,8.600000381,41.5,19.35000038
CP_44,-34.26922395,18.39219589,cape_point,0.003091843,0.99,1902.300049,8.800000191,41.5,19.26670074
CP_45,-34.27315313,18.40362956,cape_point,0,0.99,1902.300049,8.800000191,41.5,19.31669998
CP_46,-34.27325,18.41347,cape_point,0,0.99,1883.5,9,41.5,19.33329964
CP_47,-34.27306,18.4232,cape_point,0,0.99,1883.5,9,41.5,19.39999962
CP_48,-34.27303,18.43301,cape_point,0,0.99,1884.699951,9,41.5,19.5
CP_49,-34.27331,18.44289,cape_point,0,0.99,1809,9.199999809,41.5,19.39999962
CP_50,-34.27327199,18.45321,cape_point,0,0.99,1809,9.199999809,41.5,19.2833004
CP_55,-34.28152808,18.42359483,cape_point,0,0.99,1885.199951,9.199999809,41.5,19.31669998
CP_56,-34.28163537,18.43306303,cape_point,0,0.99,1871.199951,9.199999809,41.5,19.39999962
CP_57,-34.28225,18.44297222,cape_point,0,0.99,1843.699951,9.5,41.5,19.36669922
CP_58,-34.28138148,18.45320608,cape_point,0,0.99,1843.699951,9.5,41.5,19.29999924
CP_59,-34.28097222,18.463,cape_point,0,0.99,1819.400024,8.899999619,41.5,19.20000076
CP_61,-34.28859386,18.40405829,cape_point,0,0.99,1912.699951,9,41.5,19.25
CP_62,-34.28975,18.41391667,cape_point,0.035481011,0.99,1885.199951,9.199999809,41.5,19.20000076
CP_63,-34.28981074,18.4231925,cape_point,0,0.99,1885.199951,9.199999809,41.5,19.25
CP_64,-34.28974637,18.43333125,cape_point,0,0.99,1871.199951,9.199999809,41.5,19.29999924
CP_65,-34.28944596,18.44329834,cape_point,0,0.99,1843.699951,9.5,41.5,19.2833004
CP_66,-34.28974176,18.45297483,cape_point,0,0.99,1843.699951,9.5,41.5,19.20000076
CP_67,-34.28981644,18.46296614,cape_point,0,0.99,1819.400024,8.899999619,41.5,19.08329964
CP_70,-34.29792174,18.4231174,cape_point,0,0.09702973,1881.400024,9.399999619,41.5,19.18330002
CP_71,-34.29786,18.43328,cape_point,0,0.99,1873.300049,9.399999619,41.5,19.20000076
CP_72,-34.29669631,18.44436443,cape_point,0,0.99,1846.400024,9.300000191,41.5,19.16670036
CP_73,-34.29858333,18.45269444,cape_point,0,0.99,1846.400024,9.300000191,41.5,19.0333004
CP_75,-34.30572222,18.41277778,cape_point,0,0.99,1881.400024,9.399999619,41.5,19.20000076
CP_76,-34.30607566,18.42244148,cape_point,0,0.99,1881.400024,9.399999619,41.5,19.11669922
CP_78,-34.30600307,18.44295301,cape_point,0,0.99,1846.400024,9.300000191,41.5,19.08329964
CP_79,-34.30635,18.45291,cape_point,0,0.99,1846.400024,9.300000191,41.5,19.04999924
CP_8,-34.22349212,18.38426133,cape_point,0,0.99,1863.199951,8.199999809,41.5,19.45000076
CP_82,-34.31435832,18.423509,cape_point,0,0.99,1921.599976,9.300000191,41.5,19.01670074
CP_83,-34.31463727,18.43349755,cape_point,0,0.99,1869.699951,9.300000191,41.5,18.9666996
CP_88,-34.32266667,18.44297222,cape_point,0,0.5525825,1883.699951,9.5,41.5,18.86669922
CP_89,-34.32269444,18.45294444,cape_point,0.017363852,0,1883.699951,9.5,41.5,18.9666996
CP_9,-34.22359295,18.39423646,cape_point,0.003550105,0.99,1919.199951,8.300000191,41.5,19.68330002
CP_95,-34.339806,18.463083,cape_point,0,0.82897033,1911.599976,9.300000191,41.5,18.83329964
