Animal ID,Day post inoculation,Sample,IAV RT-qPCR Ct,VI
2112,6,Water,40.0,
2112,7,Milk Bucket,21.9,POS
2112,7,Milk FL,40.0,
2112,7,Milk FR,22.0,POS
2112,7,Milk RL,17.6,POS
2112,7,Blood,40.0,
2112,7,FS,40.0,
2112,7,Milk RR,30.5,
2112,7,NS,40.0,
2112,7,OPSf,40.0,
2112,7,OS,40.0,
2112,7,Saliva,40.0,
2112,7,Water,40.0,
2112,8,Milk Bucket,26.1,
2112,8,Milk FL,33.6,
2112,8,Milk FR,20.2,POS
2112,8,Milk RL,19.0,POS
2112,8,Milk RR,35.2,
2112,8,Blood,40.0,
2112,8,FS,40.0,
2112,8,NS,40.0,
2112,8,NSd,40.0,
2112,8,OPSf,40.0,
2112,8,OS,40.0,
2112,8,Saliva,40.0,
2112,8,Water,40.0,
2112,9,Milk Bucket,25.7,
2112,9,Milk FL,40.0,
2112,9,Milk FR,20.8,POS
2112,9,Milk RL,19.7,POS
2112,9,Milk RR,38.1,
2112,9,Blood,40.0,
2112,9,FS,40.0,
2112,9,NS,40.0,
2112,9,NSd,40.0,
2112,9,OPSf,40.0,
2112,9,OS,40.0,
2112,9,Saliva,40.0,
2112,9,Water,40.0,
2112,10,Milk Bucket,22.8,POS
2112,10,Milk FL,36.6,NEG
2112,10,Milk FR,21.0,POS
2112,10,Milk RL,21.3,POS
2112,10,Milk RR,40.0,
2112,10,Blood,40.0,
2112,10,FS,40.0,
2112,10,NS,40.0,
2112,10,NSd,40.0,
2112,10,OPSf,40.0,
2112,10,OS,40.0,
2112,10,Post-Decon Bucket,37.7,
2112,10,Saliva,40.0,
2112,10,Water,40.0,
2112,10,Post-Decon Claw,30.9,
2112,10,Pre-Decon Bucket,33.2,
2112,10,Pre-Decon Claw,27.9,
2112,12,Milk Bucket,24.7,NEG
2112,12,Milk FL,40.0,NEG
2112,12,Milk FR,22.0,POS
2112,12,Milk RL,20.7,NEG
2112,12,Milk RR,38.6,NEG
2112,12,Saliva,37.7,
2112,14,Milk Bucket,25.3,NEG
2112,14,Milk FL,36.9,
2112,14,Milk FR,23.4,NEG
2112,14,Milk RL,23.3,NEG
2112,14,Milk RR,40.0,
2112,14,Post-Decon Bucket,40.0,
2112,14,Post-Decon Claw,36.9,
2112,14,Pre-Decon Bucket,34.7,
2112,14,Pre-Decon Claw,25.9,
2112,14,Saliva,38.1,
2112,16,Milk Bucket,25.9,NEG
2112,16,Milk FL,38.5,
2112,16,Milk FR,26.3,NEG
2112,16,Milk RL,25.6,NEG
2112,16,Milk RR,40.0,
2112,18,Milk Bucket,27.3,NEG
2112,18,Milk FL,40.0,
2112,18,Milk FR,26.2,NEG
2112,18,Milk RL,25.7,NEG
2112,18,Milk RR,40.0,
2112,21,Milk Bucket,30.2,
2112,21,Milk FL,40.0,
2112,21,Milk FR,29.3,NEG
2112,21,Milk RL,28.7,NEG
2112,21,Milk RR,40.0,
2112,23,Milk Bucket,32.6,
2112,23,Milk FL,40.0,
2112,23,Milk FR,30.2,
2112,23,Milk RL,30.6,
2112,23,Milk RR,40.0,
2112,24,Milk FL,40.0,
2112,24,Milk FR,31.9,
2112,24,Milk RL,32.8,
2112,24,Milk RR,40.0,
2112,24,Saliva,40.0,
2112,24,Abdominal fluid,40.0,
2112,24,Abomasum,40.0,
2112,24,Blood in MTM,40.0,
2112,24,Brainstem,40.0,
2112,24,Brisket (deep+superficial pectoral),40.0,
2112,24,Bronchoalveolar lavage fluid,40.0,
2112,24,Cerebellum,40.0,
2112,24,Cerebrum,40.0,
2112,24,Conjunctiva,40.0,
2112,24,Deep Nasal swab floq,40.0,
2112,24,Deep Nasal swab proctology,40.0,
2112,24,Descending colon,40.0,
2112,24,Diaphragm,40.0,
2112,24,Fecal swab,40.0,
2112,24,Feces,40.0,
2112,24,Heart,40.0,
2112,24,Ileum,40.0,
2112,24,Jejunum,40.0,
2112,24,Kidney,40.0,
2112,24,Liver,40.0,
2112,24,LN Ileocecal,40.0,
2112,24,LN Inguinal,40.0,
2112,24,LN Mandibular,40.0,
2112,24,LN Mesenteric,40.0,
2112,24,LN Parotid,40.0,
2112,24,LN Popliteal,40.0,
2112,24,LN Retropharyngeal,40.0,
2112,24,LN Supramammary,31.4,
2112,24,LN Tracheobronchial,40.0,
2112,24,Lung Accessory lobe ,40.0,
2112,24,Lung Caudal left lobe ,40.0,
2112,24,Lung Caudal part left cranial lobe ,40.0,
2112,24,Lung Caudal part right cranial lobe ,40.0,
2112,24,Lung Caudal right lobe ,40.0,
2112,24,Lung Cranial part left cranial lobe ,40.0,
2112,24,Lung Cranial part right cranial lobe ,40.0,
2112,24,Lung Middle lobe ,40.0,
2112,24,Mammary Left front,38.5,
2112,24,Mammary Left rear,30.9,
2112,24,Mammary Right front,29.7,NEG
2112,24,Mammary Right rear,40.0,
2112,24,Nasal Swab,40.0,
2112,24,Ocular fluid aqueous,40.0,
2112,24,Ocular fluid vitreous,40.0,
2112,24,Ocular swab,40.0,
2112,24,Omasum,40.0,
2112,24,OPS Swab ,40.0,
2112,24,Pancreas,40.0,
2112,24,Reticulum,40.0,
2112,24,Rumen,40.0,
2112,24,Rumen content,40.0,
2112,24,"Rump (gluteus medius; minimus, biceps femoris)",40.0,
2112,24,Saliva,40.0,
2112,24,Spiral colon,40.0,
2112,24,Spleen,40.0,
2112,24,Tenderloin (psoas major),40.0,
2112,24,Thymus,40.0,
2112,24,Trachea,40.0,
2112,24,Tracheal swab,40.0,
2112,24,Turbinate,40.0,
2112,24,Urine,40.0,
2129,0,Blood,40.0,
2129,0,FS,40.0,
2129,0,Milk Bucket,40.0,
2129,0,Milk FL,40.0,
2129,0,Milk FR,40.0,
2129,0,Milk RL ,40.0,
2129,0,NS,40.0,
2129,0,OPS,40.0,
2129,0,OS,40.0,
2129,0,Saliva,40.0,
2129,0,Water,40.0,
2129,0,Milk RR,40.0,
2129,1,Blood,40.0,
2129,1,FS,40.0,
2129,1,Milk Bucket,27.2,
2129,1,Milk FL,40.0,
2129,1,NS,40.0,
2129,1,OPS,40.0,
2129,1,OS,40.0,
2129,1,Saliva,40.0,
2129,1,Water,40.0,
2129,1,Milk FR,23.1,POS
2129,1,Milk RL ,25.4,POS
2129,1,Milk RR,37.7,
2129,2,Blood,40.0,
2129,2,FS,40.0,
2129,2,Milk Bucket,16.6,
2129,2,Milk FL,38.3,
2129,2,NS,40.0,
2129,2,OPS,40.0,
2129,2,OS,40.0,
2129,2,Saliva,40.0,
2129,2,Water,39.3,
2129,2,Milk FR,16.8,POS
2129,2,Milk RL ,15.8,POS
2129,2,Milk RR,40.0,
2129,3,Blood,40.0,
2129,3,FS,40.0,
2129,3,Milk Bucket,17.3,
2129,3,Milk FL,39.6,
2129,3,Milk FR,16.1,POS
2129,3,Milk RL ,15.8,POS
2129,3,NS,38.1,
2129,3,OPS,40.0,
2129,3,Milk RR,36.2,
2129,3,Water,40.0,
2129,3,OS,34.7,
2129,3,Saliva,36.1,
2129,4,Blood,40.0,
2129,4,FS,40.0,
2129,4,Milk Bucket,18.7,
2129,4,Milk FL,40.0,
2129,4,Milk FR,16.8,POS
2129,4,Milk RL,17.0,POS
2129,4,Milk RR,40.0,
2129,4,NS,37.8,
2129,4,OPSf,40.0,
2129,4,OS,40.0,
2129,4,Saliva,38.2,
2129,4,Water,40.0,
2129,5,Blood,40.0,
2129,5,FS,40.0,
2129,5,Milk Bucket,18.6,POS
2129,5,Milk FL,33.1,NEG
2129,5,Milk FR,17.6,POS
2129,5,Milk RL,17.1,POS
2129,5,Milk RR,40.0,
2129,5,OPSf,40.0,
2129,5,OS,40.0,
2129,5,Saliva,40.0,
2129,5,Water,40.0,
2129,5,NS,37.0,
2129,6,Blood,40.0,
2129,6,FS,40.0,
2129,6,Milk Bucket,18.5,
2129,6,Milk FL,40.0,
2129,6,Milk FR,17.3,POS
2129,6,Milk RL,16.1,POS
2129,6,Milk RR,40.0,
2129,6,NS,40.0,
2129,6,OS,40.0,
2129,6,Saliva,40.0,
2129,6,Water,40.0,
2129,6,OPSf,37.0,
2129,7,Blood,40.0,
2129,7,FS,40.0,
2129,7,Milk Bucket,23.8,POS
2129,7,Milk FL,30.5,
2129,7,Milk FR,22.4,POS
2129,7,Milk RL,20.2,POS
2129,7,Milk RR,40.0,
2129,7,NS,40.0,
2129,7,OPSf,40.0,
2129,7,OS,40.0,
2129,7,Saliva,40.0,
2129,7,Water,40.0,
2129,8,Milk Bucket,21.8,
2129,8,Milk FL,40.0,
2129,8,Milk FR,20.0,POS
2129,8,Milk RL,20.0,POS
2129,8,Blood,40.0,
2129,8,FS,40.0,
2129,8,Milk RR,40.0,
2129,8,NS,38.2,
2129,8,NSd,40.0,
2129,8,OPSf,40.0,
2129,8,OS,38.3,
2129,8,Saliva,40.0,
2129,8,Water,38.1,
2129,9,Milk Bucket,22.4,
2129,9,Milk FL,34.6,
2129,9,Milk FR,21.5,NEG
2129,9,Milk RL,20.4,NEG
2129,9,Milk RR,40.0,
2129,9,Blood,40.0,
2129,9,FS,40.0,
2129,9,NS,40.0,
2129,9,NSd,40.0,
2129,9,OPSf,40.0,
2129,9,OS,40.0,
2129,9,Saliva,40.0,
2129,9,Water,40.0,
2129,10,Milk Bucket,24.8,POS
2129,10,Milk FL,40.0,
2129,10,Milk FR,23.0,NEG
2129,10,Milk RL,20.7,NEG
2129,10,Milk RR,40.0,
2129,10,Blood,40.0,
2129,10,FS,40.0,
2129,10,NS,40.0,
2129,10,NSd,40.0,
2129,10,OPSf,40.0,
2129,10,OS,39.0,
2129,10,Post-Decon Bucket,37.9,
2129,10,Saliva,40.0,
2129,10,Water,40.0,
2129,10,Post-Decon Claw,33.5,
2129,10,Pre-Decon Bucket,31.5,
2129,10,Pre-Decon Claw,26.5,
2129,12,Milk Bucket,25.0,NEG
2129,12,Milk FL,40.0,
2129,12,Milk FR,27.2,NEG
2129,12,Milk RL,22.8,NEG
2129,12,Milk RR,37.2,NEG
2129,12,Saliva,40.0,
2129,14,Milk Bucket,28.6,NEG
2129,14,Milk FL,38.1,
2129,14,Milk FR,28.7,NEG
2129,14,Milk RL,28.0,NEG
2129,14,Milk RR,38.3,
2129,14,Post-Decon Bucket,40.0,
2129,14,Post-Decon Claw,40.0,
2129,14,Pre-Decon Bucket,37.0,
2129,14,Pre-Decon Claw,31.3,
2129,14,Saliva,40.0,
2129,16,Milk Bucket,32.3,NEG
2129,16,Milk FL,40.0,
2129,16,Milk FR,30.2,NEG
2129,16,Milk RL,31.4,NEG
2129,16,Milk RR,40.0,
2129,18,Milk Bucket,33.7,NEG
2129,18,Milk FL,40.0,
2129,18,Milk FR,32.1,NEG
2129,18,Milk RL,33.4,
2129,18,Milk RR,40.0,
2129,21,Milk Bucket,33.7,
2129,21,Milk FL,40.0,
2129,21,Milk FR,29.6,NEG
2129,21,Milk RL,30.5,
2129,21,Milk RR,40.0,
2129,23,Milk Bucket,35.1,
2129,23,Milk FL,40.0,
2129,23,Milk FR,33.1,
2129,23,Milk RL,33.6,
2129,23,Milk RR,40.0,
2129,24,Milk FL,40.0,
2129,24,Milk FR,37.5,
2129,24,Milk RL,38.9,
2129,24,Milk RR,40.0,
2129,24,Saliva,40.0,
2129,24,Abomasum,40.0,
2129,24,Brainstem,40.0,
2129,24,Brisket (deep+superficial pectoral),40.0,
2129,24,Bronchoalveolar lavage fluid,40.0,
2129,24,Cerebellum,40.0,
2129,24,Cerebrum,40.0,
2129,24,Conjunctiva,40.0,
2129,24,Deep Nasal swab floq,40.0,
2129,24,Deep Nasal swab proctology,40.0,
2129,24,Descending colon,40.0,
2129,24,Diaphragm,40.0,
2129,24,Fecal swab,40.0,
2129,24,Feces,40.0,
2129,24,Heart,40.0,
2129,24,Ileum,40.0,
2129,24,Jejunum,40.0,
2129,24,Kidney,40.0,
2129,24,Left front milk fresh,40.0,
2129,24,Left rear milk fresh,40.0,
2129,24,Liver,40.0,
2129,24,LN Ileocecal,40.0,
2129,24,LN Inguinal,35.3,
2129,24,LN Mandibular,40.0,
2129,24,LN Mesenteric,40.0,
2129,24,LN Parotid,40.0,
2129,24,LN Popliteal,40.0,
2129,24,LN Retropharyngeal,40.0,
2129,24,LN Supramammary,31.4,
2129,24,LN Tracheobronchial,40.0,
2129,24,Lung Accessory lobe ,40.0,
2129,24,Lung Caudal left lobe ,40.0,
2129,24,Lung Caudal part left cranial lobe ,40.0,
2129,24,Lung Caudal part right cranial lobe ,40.0,
2129,24,Lung Caudal right lobe ,40.0,
2129,24,Lung Cranial part left cranial lobe ,40.0,
2129,24,Lung Cranial part right cranial lobe ,40.0,
2129,24,Lung Middle lobe ,40.0,
2129,24,Mammary Left front ,40.0,
2129,24,Mammary Left rear ,35.8,
2129,24,Mammary Right front,28.2,NEG
2129,24,Mammary Right rear,40.0,
2129,24,MTM,40.0,
2129,24,Nasal Swab,40.0,
2129,24,Ocular fluid aqueous,40.0,
2129,24,Ocular fluid vitreous,40.0,
2129,24,Ocular swab,40.0,
2129,24,Omasum,40.0,
2129,24,OPS Swab ,40.0,
2129,24,Pancreas,40.0,
2129,24,Reticulum,40.0,
2129,24,Right front milk fresh,40.0,
2129,24,Right rear milk fresh,40.0,
2129,24,Rumen,40.0,
2129,24,Rumen content,40.0,
2129,24,"Rump (gluteus medius; minimus, biceps femoris)",40.0,
2129,24,Saliva,40.0,
2129,24,Spiral colon,40.0,
2129,24,Spleen,40.0,
2129,24,Tenderloin (psoas major),40.0,
2129,24,Thymus,40.0,
2129,24,Trachea,40.0,
2129,24,Tracheal swab,40.0,
2129,24,Turbinate,40.0,
2129,24,Urine,40.0,
